position,parent,auc,normalized_auc
{filler},cleft,0.04666666666666667,0.29787234042553196
{filler},embedded_wh_finite,0.08666666666666667,0.5531914893617023
{filler},embedded_wh_nonfinite,0.08,0.5106382978723405
{filler},pseudo_cleft,0.15666666666666665,1.0
{filler},restricted_rc,0.02,0.12765957446808512
{filler},topicalization,0.05,0.31914893617021284
{filler},wh_question,0.12666666666666665,0.8085106382978723
the,cleft,0.09,0.2231404958677686
the,embedded_wh_finite,0.06666666666666667,0.1652892561983471
the,embedded_wh_nonfinite,0.09,0.2231404958677686
the,pseudo_cleft,0.4033333333333333,1.0
the,restricted_rc,0.03333333333333333,0.08264462809917356
the,topicalization,0.11666666666666667,0.2892561983471075
the,wh_question,0.11666666666666665,0.2892561983471074
{np},cleft,0.27,0.4450549450549451
{np},embedded_wh_finite,0.14666666666666667,0.24175824175824176
{np},embedded_wh_nonfinite,0.1466666666666667,0.2417582417582418
{np},pseudo_cleft,0.6066666666666667,1.0
{np},restricted_rc,0.2533333333333333,0.4175824175824175
{np},topicalization,0.27,0.4450549450549451
{np},wh_question,0.4433333333333333,0.7307692307692307
{verb},cleft,0.6266666666666666,0.9842931937172775
{verb},embedded_wh_finite,0.3866666666666667,0.6073298429319373
{verb},embedded_wh_nonfinite,0.33,0.518324607329843
{verb},pseudo_cleft,0.42666666666666664,0.6701570680628273
{verb},restricted_rc,0.2533333333333333,0.39790575916230364
{verb},topicalization,0.6366666666666666,1.0
{verb},wh_question,0.5133333333333334,0.8062827225130892
